N,prediction.order,seconds,algorithm
10,unsorted,0.02159612,Functional.square
10,unsorted,1.652e-05,Logistic
10,unsorted,0.0214322,Functional.square
10,unsorted,0.00719692,Naïve.square
10,unsorted,1.752e-05,Logistic
10,unsorted,0.00702308,Naïve.square
10,unsorted,0.0070236,Naïve.square
10,unsorted,0.02914536,Functional.squared_hinge
10,unsorted,1.588e-05,Logistic
10,unsorted,0.0063124,Naïve.squared_hinge
10,unsorted,0.00597104,Naïve.squared_hinge
10,unsorted,0.00599212,Naïve.squared_hinge
10,unsorted,1.972e-05,Logistic
10,unsorted,0.00761052,Naïve.square
10,unsorted,1.8e-05,Logistic
10,unsorted,0.00758056,Naïve.square
10,unsorted,0.0223544,Functional.square
10,unsorted,1.528e-05,Logistic
10,unsorted,0.03092016,Functional.squared_hinge
10,unsorted,0.02249228,Functional.square
10,unsorted,0.03082512,Functional.square
10,unsorted,0.02909776,Functional.squared_hinge
10,unsorted,0.02912124,Functional.squared_hinge
10,unsorted,0.02962444,Functional.squared_hinge
10,unsorted,0.0219672,Functional.square
10,unsorted,0.00746632,Naïve.square
10,unsorted,0.00598172,Naïve.squared_hinge
10,unsorted,0.00700488,Naïve.square
10,unsorted,0.0213022,Functional.square
10,unsorted,0.00617512,Naïve.squared_hinge
10,unsorted,0.03881264,Functional.squared_hinge
10,unsorted,0.00727352,Naïve.square
10,unsorted,0.02917464,Functional.squared_hinge
10,unsorted,0.02975552,Functional.squared_hinge
10,unsorted,1.636e-05,Logistic
10,unsorted,0.00623652,Naïve.squared_hinge
10,unsorted,2.04e-05,Logistic
10,unsorted,0.02275576,Functional.square
10,unsorted,1.872e-05,Logistic
10,unsorted,0.02426584,Functional.square
10,unsorted,0.00693532,Naïve.squared_hinge
10,unsorted,0.00687888,Naïve.squared_hinge
10,unsorted,0.03199548,Functional.squared_hinge
10,unsorted,0.04067528,Functional.squared_hinge
10,unsorted,0.00759932,Naïve.square
10,unsorted,0.00711404,Naïve.square
10,unsorted,1.756e-05,Logistic
10,unsorted,0.006683,Naïve.squared_hinge
10,unsorted,0.00710664,Naïve.squared_hinge
10,unsorted,0.0225434,Functional.square
31,unsorted,0.03103468,Functional.squared_hinge
31,unsorted,2.256e-05,Logistic
31,unsorted,0.00884644,Naïve.square
31,unsorted,0.031212,Functional.squared_hinge
31,unsorted,0.03055836,Functional.squared_hinge
31,unsorted,0.00834708,Naïve.square
31,unsorted,0.03261708,Functional.squared_hinge
31,unsorted,0.0066224,Naïve.squared_hinge
31,unsorted,0.00905848,Naïve.square
31,unsorted,0.03107076,Functional.squared_hinge
31,unsorted,0.03886672,Functional.squared_hinge
31,unsorted,1.848e-05,Logistic
31,unsorted,9.4e-06,Logistic
31,unsorted,1.008e-05,Logistic
31,unsorted,0.02161336,Functional.square
31,unsorted,0.02116712,Functional.square
31,unsorted,0.00671112,Naïve.squared_hinge
31,unsorted,2.056e-05,Logistic
31,unsorted,0.02075368,Functional.square
31,unsorted,0.00672716,Naïve.squared_hinge
31,unsorted,0.02097272,Functional.square
31,unsorted,0.021484,Functional.square
31,unsorted,0.0069718,Naïve.squared_hinge
31,unsorted,0.0210058,Functional.square
31,unsorted,0.00661808,Naïve.squared_hinge
31,unsorted,0.02116384,Functional.square
31,unsorted,0.00782272,Naïve.square
31,unsorted,0.0271026,Naïve.square
31,unsorted,2.18e-05,Logistic
31,unsorted,0.03065832,Functional.squared_hinge
31,unsorted,0.02083136,Functional.square
31,unsorted,0.00783372,Naïve.square
31,unsorted,0.00746912,Naïve.square
31,unsorted,0.00623436,Naïve.squared_hinge
31,unsorted,0.00751188,Naïve.square
31,unsorted,0.02522152,Functional.square
31,unsorted,0.03179588,Functional.squared_hinge
31,unsorted,0.03046056,Functional.squared_hinge
31,unsorted,0.0068702,Naïve.squared_hinge
31,unsorted,0.00650656,Naïve.squared_hinge
