N,prediction.order,seconds,algorithm
3162,sorted,1.04089456,Naïve
3162,sorted,0.9992216,Naïve
3162,sorted,1.13998104,Naïve
3162,sorted,0.03053332,Functional
3162,sorted,1.04646336,Naïve
3162,sorted,0.00025392,Logistic
3162,sorted,0.0295168,Functional
3162,unsorted,1.11289724,Naïve
3162,unsorted,0.00025724,Logistic
3162,unsorted,0.02997556,Functional
3162,unsorted,0.00028584,Logistic
3162,unsorted,0.00023388,Logistic
3162,unsorted,0.00023652,Logistic
3162,unsorted,1.06032512,Naïve
3162,unsorted,0.00025784,Logistic
3162,unsorted,0.02972228,Functional
3162,unsorted,1.05640344,Naïve
3162,unsorted,0.0002562,Logistic
3162,unsorted,0.02955964,Functional
3162,unsorted,1.03009336,Naïve
3162,unsorted,1.05389756,Naïve
3162,unsorted,0.0296638,Functional
3162,unsorted,0.03063028,Functional
3162,unsorted,0.03195728,Functional
3162,unsorted,1.04299612,Naïve
3162,unsorted,0.0299834,Functional
3162,unsorted,0.0322766,Functional
3162,unsorted,0.00024792,Logistic
3162,unsorted,0.03742172,Functional
3162,unsorted,1.08342152,Naïve
3162,unsorted,1.13553748,Naïve
3162,unsorted,1.03640552,Naïve
3162,unsorted,1.05470944,Naïve
3162,unsorted,0.0299272,Functional
3162,unsorted,0.00025044,Logistic
3162,unsorted,0.00023612,Logistic
3162,unsorted,0.0002322,Logistic
10000,sorted,0.03196412,Functional
10000,sorted,0.03292136,Functional
10000,sorted,0.0007812,Logistic
10000,sorted,0.03450936,Functional
10000,sorted,0.0008178,Logistic
10000,sorted,0.03800572,Functional
10000,sorted,0.00077088,Logistic
10000,sorted,0.00077592,Logistic
10000,sorted,0.0330634,Functional
10000,sorted,0.0008634,Logistic
10000,sorted,0.03284392,Functional
10000,sorted,0.03247748,Functional
10000,sorted,0.00085724,Logistic
10000,sorted,0.00073308,Logistic
10000,sorted,0.0380646,Functional
10000,sorted,0.00095612,Logistic
10000,sorted,0.00072876,Logistic
10000,sorted,0.03298864,Functional
10000,sorted,0.03243388,Functional
10000,sorted,0.00076732,Logistic
