train.prop.pos,seed,reg.param,valid.metric.name,test.metric.name,test.metric.value
0.01,1,-log10(penalty),loss,loss,0.411017067877458
0.01,1,-log10(penalty),loss,auc,0.881547498088852
0.01,1,-log10(penalty),auc,loss,0.44145857037606
0.01,1,-log10(penalty),auc,auc,0.907732652093554
0.01,1,epochs,loss,loss,0.348198534626873
0.01,1,epochs,loss,auc,0.896701212490686
0.01,1,epochs,auc,loss,0.376478052591919
0.01,1,epochs,auc,auc,0.89442718766027
0.01,2,-log10(penalty),loss,loss,0.555122099373877
0.01,2,-log10(penalty),loss,auc,0.807191724484958
0.01,2,-log10(penalty),auc,loss,0.555122099373877
0.01,2,-log10(penalty),auc,auc,0.807191724484958
0.01,2,epochs,loss,loss,0.485256604052325
0.01,2,epochs,loss,auc,0.847872577195886
0.01,2,epochs,auc,loss,0.545801256275569
0.01,2,epochs,auc,auc,0.810385035948946
0.01,3,-log10(penalty),loss,loss,0.335422203569741
0.01,3,-log10(penalty),loss,auc,0.90075575037981
0.01,3,-log10(penalty),auc,loss,0.399776157394841
0.01,3,-log10(penalty),auc,auc,0.88890179115743
0.01,3,epochs,loss,loss,0.408606348737247
0.01,3,epochs,loss,auc,0.873767430158408
0.01,3,epochs,auc,loss,0.473443266658902
0.01,3,epochs,auc,auc,0.870922479945036
0.01,4,-log10(penalty),loss,loss,0.535776540399573
0.01,4,-log10(penalty),loss,auc,0.842511684616948
0.01,4,-log10(penalty),auc,loss,0.56981681350762
0.01,4,-log10(penalty),auc,auc,0.852091619008912
0.01,4,epochs,loss,loss,0.530647240596727
0.01,4,epochs,loss,auc,0.84187302232415
0.01,4,epochs,auc,loss,0.486025450860867
0.01,4,epochs,auc,auc,0.853823748560591
0.01,5,-log10(penalty),loss,loss,0.354475103223247
0.01,5,-log10(penalty),loss,auc,0.917022285443338
0.01,5,-log10(penalty),auc,loss,0.782497657740263
0.01,5,-log10(penalty),auc,auc,0.924657202852692
0.01,5,epochs,loss,loss,0.30889199662908
0.01,5,epochs,loss,auc,0.918106076000813
0.01,5,epochs,auc,loss,0.337820248433072
0.01,5,epochs,auc,auc,0.923350848162878
0.01,6,-log10(penalty),loss,loss,0.486179891443246
0.01,6,-log10(penalty),loss,auc,0.863616570383488
0.01,6,-log10(penalty),auc,loss,0.924446312300972
0.01,6,-log10(penalty),auc,auc,0.916064292004142
0.01,6,epochs,loss,loss,0.415000624579022
0.01,6,epochs,loss,auc,0.885882660318751
0.01,6,epochs,auc,loss,0.413721237429407
0.01,6,epochs,auc,auc,0.902836241182106
0.01,7,-log10(penalty),loss,loss,0.391381973009338
0.01,7,-log10(penalty),loss,auc,0.88393764333614
0.01,7,-log10(penalty),auc,loss,0.39454597105682
0.01,7,-log10(penalty),auc,auc,0.895975459885234
0.01,7,epochs,loss,loss,0.342467637740448
0.01,7,epochs,loss,auc,0.897049573741303
0.01,7,epochs,auc,loss,0.365046088964738
0.01,7,epochs,auc,auc,0.892598291094532
0.01,8,-log10(penalty),loss,loss,0.373123468711126
0.01,8,-log10(penalty),loss,auc,0.89744631849895
0.01,8,-log10(penalty),auc,loss,0.51050010179955
0.01,8,-log10(penalty),auc,auc,0.908864826158059
0.01,8,epochs,loss,loss,0.33270777524801
0.01,8,epochs,loss,auc,0.901965338055564
0.01,8,epochs,auc,loss,0.369627553381986
0.01,8,epochs,auc,auc,0.913016131061244
0.01,9,-log10(penalty),loss,loss,0.327712672360492
