train.prop.pos,seed,reg.param,valid.metric.name,test.metric.name,test.metric.value
0.01,9,-log10(penalty),loss,auc,0.905545717575793
0.01,9,-log10(penalty),auc,loss,0.327712672360492
0.01,9,-log10(penalty),auc,auc,0.905545717575793
0.01,9,epochs,loss,loss,0.312034224204631
0.01,9,epochs,loss,auc,0.907403644245749
0.01,9,epochs,auc,loss,0.343637245809885
0.01,9,epochs,auc,auc,0.899226831557659
0.01,10,-log10(penalty),loss,loss,0.665486581657955
0.01,10,-log10(penalty),loss,auc,0.770246078516755
0.01,10,-log10(penalty),auc,loss,0.969928985850815
0.01,10,-log10(penalty),auc,auc,0.911574302551746
0.01,10,epochs,loss,loss,0.627874297631822
0.01,10,epochs,loss,auc,0.78610619212123
0.01,10,epochs,auc,loss,0.406808465468307
0.01,10,epochs,auc,auc,0.91156462585034
0.5,1,-log10(penalty),loss,loss,0.152704536166656
0.5,1,-log10(penalty),loss,auc,0.960683562187322
0.5,1,-log10(penalty),auc,loss,0.258357906184813
0.5,1,-log10(penalty),auc,auc,0.956387106763047
0.5,1,epochs,loss,loss,0.142719699202862
0.5,1,epochs,loss,auc,0.962444721843218
0.5,1,epochs,auc,loss,0.195811664663511
0.5,1,epochs,auc,auc,0.959696538643907
0.5,2,-log10(penalty),loss,loss,0.140677664815175
0.5,2,-log10(penalty),loss,auc,0.961893149863075
0.5,2,-log10(penalty),auc,loss,0.410897894865114
0.5,2,-log10(penalty),auc,auc,0.959715892046719
0.5,2,epochs,loss,loss,0.158375649524427
0.5,2,epochs,loss,auc,0.957983762495041
0.5,2,epochs,auc,loss,0.237372099398325
0.5,2,epochs,auc,auc,0.961225457466059
0.5,3,-log10(penalty),loss,loss,0.156584255159275
0.5,3,-log10(penalty),loss,auc,0.959464297810162
0.5,3,-log10(penalty),auc,loss,0.347197699419199
0.5,3,-log10(penalty),auc,auc,0.956251632943362
0.5,3,epochs,loss,loss,0.141829590452888
0.5,3,epochs,loss,auc,0.9632188579557
0.5,3,epochs,auc,loss,0.20919574369131
0.5,3,epochs,auc,auc,0.958486950968154
0.5,4,-log10(penalty),loss,loss,0.228011478790982
0.5,4,-log10(penalty),loss,auc,0.951539079358628
0.5,4,-log10(penalty),auc,loss,0.169703856531832
0.5,4,-log10(penalty),auc,auc,0.956638700999603
0.5,4,epochs,loss,loss,0.234249747057331
0.5,4,epochs,loss,auc,0.952197095054238
0.5,4,epochs,auc,loss,0.208859110382245
0.5,4,epochs,auc,auc,0.953832457591856
0.5,5,-log10(penalty),loss,loss,0.19596876229017
0.5,5,-log10(penalty),loss,auc,0.955680707560407
0.5,5,-log10(penalty),auc,loss,0.163581786804386
0.5,5,-log10(penalty),auc,auc,0.955671030859001
0.5,5,epochs,loss,loss,0.214843093045476
0.5,5,epochs,loss,auc,0.95628066304758
0.5,5,epochs,auc,loss,0.191168476379557
0.5,5,epochs,auc,auc,0.955796827977279
0.5,6,-log10(penalty),loss,loss,0.232476156972418
0.5,6,-log10(penalty),loss,auc,0.956435490270077
0.5,6,-log10(penalty),auc,loss,0.232476156972418
0.5,6,-log10(penalty),auc,auc,0.956435490270077
0.5,6,epochs,loss,loss,0.314741853058091
0.5,6,epochs,loss,auc,0.955216225892918
0.5,6,epochs,auc,loss,0.30477301966943
0.5,6,epochs,auc,auc,0.955303316205572
0.5,7,-log10(penalty),loss,loss,0.173245565231434
0.5,7,-log10(penalty),loss,auc,0.954693684016992
0.5,7,-log10(penalty),auc,loss,0.737870982724226
0.5,7,-log10(penalty),auc,auc,0.955129135580263
0.5,7,epochs,loss,loss,0.188663995710686
0.5,7,epochs,loss,auc,0.956425813568671
0.5,7,epochs,auc,loss,0.479970646604734
0.5,7,epochs,auc,auc,0.955642000754783
0.5,8,-log10(penalty),loss,loss,0.182502667515502
0.5,8,-log10(penalty),loss,auc,0.955138812281669
0.5,8,-log10(penalty),auc,loss,0.249165408627345
0.5,8,-log10(penalty),auc,auc,0.954296939259345
0.5,8,epochs,loss,loss,0.201999053215383
0.5,8,epochs,loss,auc,0.955303316205572
0.5,8,epochs,auc,loss,0.247292000793589
0.5,8,epochs,auc,auc,0.954113081932631
0.5,9,-log10(penalty),loss,loss,0.232969077635838
0.5,9,-log10(penalty),loss,auc,0.956067775616648
0.5,9,-log10(penalty),auc,loss,0.319355691783251
0.5,9,-log10(penalty),auc,auc,0.955845211484309
0.5,9,epochs,loss,loss,0.247947413455172
0.5,9,epochs,loss,auc,0.955322669608384
0.5,9,epochs,auc,loss,0.26473634237322
0.5,9,epochs,auc,auc,0.955138812281669
0.5,10,-log10(penalty),loss,loss,0.127683844528132
0.5,10,-log10(penalty),loss,auc,0.965250965250965
0.5,10,-log10(penalty),auc,loss,0.127033085789889
0.5,10,-log10(penalty),auc,auc,0.966354109211252
0.5,10,epochs,loss,loss,0.135209710039809
0.5,10,epochs,loss,auc,0.962077007189789
0.5,10,epochs,auc,loss,0.14949394807232
0.5,10,epochs,auc,auc,0.966179928585944
